,Column1,id,date,tweet,language,hashtags,cashtags,retweet,nlikes,nreplies,nretweets,"search",tokens,trend
82,83,1.39216e+18,2021-05-11,$goog has a weak #technical analysis score (ta score). breakdown of 3 categories: #candle score poor; moving average score neutral; #momentum score neutral #stocks #stock #stockmarket #investment #investing  https://t.co/5je2nlrw3b  https://t.co/tjhpuqhmve  https://t.co/yku2rmfh4u,en,"['technical', 'candle', 'momentum', 'stocks', 'stock', 'stockmarket', 'investment', 'investing']",['goog'],False,1.0,0.0,0.0,"$GOOG","['$goog', 'weak', '#technical', 'analysis', 'score', '(ta', 'score).', 'breakdown', '3', 'categories:', '#candle', 'score', 'poor;', 'moving', 'average', 'score', 'neutral;', '#momentum', 'score', 'neutral', '#stocks', '#stock', '#stockmarket', '#investment', '#investing', 'https://t.co/5je2nlrw3b', 'https://t.co/tjhpuqhmve', 'https://t.co/yku2rmfh4u']",negative
90,91,1.39216e+18,2021-05-11,"$ely got the breakout we were looking for... selling some here, and being greedy with the rest. moving stops to entry.  $spy $qqq $tsla $aapl $amzn $msft $baba $goog $nvda $nio $fb $twlo $pton $sq $penn  https://t.co/i7wlvc2ko5",en,[],"['ely', 'spy', 'qqq', 'tsla', 'aapl', 'amzn', 'msft', 'baba', 'goog', 'nvda', 'nio', 'fb', 'twlo', 'pton', 'sq', 'penn']",False,0.0,1.0,0.0,"$GOOG","['$ely', 'got', 'breakout', 'looking', 'for...', 'selling', 'here,', 'greedy', 'rest.', 'moving', 'stop', 'entry.', '$spy', '$qqq', '$tsla', '$aapl', '$amzn', '$msft', '$baba', '$goog', '$nvda', '$nio', '$fb', '$twlo', '$pton', '$sq', '$penn', 'https://t.co/i7wlvc2ko5']",negative
100,101,1.39214e+18,2021-05-11,"@rakesh81924056 @brennen16638243 100%, $rlc could easily hit $100, its involved with the biggest companies in the world, $ibm, $intc, $goog, $amzn etc plus the european union. how many coins do u know of with those connections &amp; partnerships? this is a gem imo.",en,[],"['rlc', 'ibm', 'intc', 'goog', 'amzn']",False,10.0,0.0,5.0,"$GOOG","['@rakesh81924056', '@brennen16638243', '100%,', '$rlc', 'could', 'easily', 'hit', '$100,', 'involved', 'biggest', 'company', 'world,', '$ibm,', '$intc,', '$goog,', '$amzn', 'etc', 'plus', 'european', 'union.', 'many', 'coin', 'u', 'know', 'connection', '&amp;', 'partnerships?', 'gem', 'imo.']",positive
103,104,1.39214e+18,2021-05-11,"stock picker? s&amp;p500 picks stocks, it is not passive. high frequency traders s^p actively gambling on $aapl as their favorite trade followed by $msft $amzn $goog $googl. they also like 495 others but less. they missed 99% of $brkb returns since 1965  https://t.co/c1z93yztsb",en,[],"['aapl', 'msft', 'amzn', 'goog', 'googl', 'brkb']",False,3.0,1.0,0.0,"$GOOG","['stock', 'picker?', 's&amp;p500', 'pick', 'stocks,', 'passive.', 'high', 'frequency', 'trader', 's^p', 'actively', 'gambling', '$aapl', 'favorite', 'trade', 'followed', '$msft', '$amzn', '$goog', '$googl.', 'also', 'like', '495', 'others', 'less.', 'missed', '99%', '$brkb', 'return', 'since', '1965', 'https://t.co/c1z93yztsb']",positive
104,105,1.39214e+18,2021-05-11,$dfco genomics testing is used for creating visibility to gene alterations in the genetic code and for identifying genetic markers associated with the characteristic of a disease or a health condition.   https://t.co/8uftatix6z  @jctb1  $dhr $cmg $nvda $goog $amd $chtr #stock  https://t.co/eaicrccp13,en,['stock'],"['dfco', 'dhr', 'cmg', 'nvda', 'goog', 'amd', 'chtr']",False,0.0,0.0,0.0,"$GOOG","['$dfco', 'genomics', 'testing', 'used', 'creating', 'visibility', 'gene', 'alteration', 'genetic', 'code', 'identifying', 'genetic', 'marker', 'associated', 'characteristic', 'disease', 'health', 'condition.', 'https://t.co/8uftatix6z', '@jctb1', '$dhr', '$cmg', '$nvda', '$goog', '$amd', '$chtr', '#stock', 'https://t.co/eaicrccp13']",uncertainty
110,112,1.39214e+18,2021-05-11,stocks just suffered the worst bout of concentrated selling pressure in history. (source: bloomberg data) $ba $appl $apps $amd $amzn $arkk $baba $coin $dia $spy $dkng $etsy $fb $nflx $goog $gs $jpm $mara $msft $nvda $penn $qqq  $riot $tsla  https://t.co/f0wwd8hfyd,en,[],"['ba', 'appl', 'apps', 'amd', 'amzn', 'arkk', 'baba', 'coin', 'dia', 'spy', 'dkng', 'etsy', 'fb', 'nflx', 'goog', 'gs', 'jpm', 'mara', 'msft', 'nvda', 'penn', 'qqq', 'riot', 'tsla']",False,3.0,3.0,1.0,"$GOOG","['stock', 'suffered', 'worst', 'bout', 'concentrated', 'selling', 'pressure', 'history.', '(source:', 'bloomberg', 'data)', '$ba', '$appl', '$apps', '$amd', '$amzn', '$arkk', '$baba', '$coin', '$dia', '$spy', '$dkng', '$etsy', '$fb', '$nflx', '$goog', '$gs', '$jpm', '$mara', '$msft', '$nvda', '$penn', '$qqq', '$riot', '$tsla', 'https://t.co/f0wwd8hfyd']",negative
117,119,1.39213e+18,2021-05-11,"@21stquadrillion @naveyoung thats all hogwash. excuses for bad execution. crazy conspiracy theories. if google etc so scared, they will buy $bb for $50 a share. $bb sold interest bearing convert at $6 a share to @premwatsa;  $bb will be legally obligated to take $20-$30 a share offer.  peanuts 4 $goog etc",en,[],"['bb', 'bb', 'bb', 'goog']",False,0.0,0.0,0.0,"$GOOG","['@21stquadrillion', '@naveyoung', 'thats', 'hogwash.', 'excuse', 'bad', 'execution.', 'crazy', 'conspiracy', 'theories.', 'google', 'etc', 'scared,', 'buy', '$bb', '$50', 'share.', '$bb', 'sold', 'interest', 'bearing', 'convert', '$6', 'share', '@premwatsa;', '$bb', 'legally', 'obligated', 'take', '$20-$30', 'share', 'offer.', 'peanut', '4', '$goog', 'etc']",negative
120,123,1.39213e+18,2021-05-11,"today top flow in s&amp;p 500 #sp500, buy flow and sell flow $amzn $pfe $hum $incy $fisv $crm $mu $aap $rf $emn $fb $aapl $ba $lrcx $dhr $cmg $nvda $goog $amd $chtr #stock #stocks #stockmarket #investment #investing  https://t.co/5je2nlrw3b  https://t.co/mnwey8i91t",en,"['sp500', 'stock', 'stocks', 'stockmarket', 'investment', 'investing']","['amzn', 'pfe', 'hum', 'incy', 'fisv', 'crm', 'mu', 'aap', 'rf', 'emn', 'fb', 'aapl', 'ba', 'lrcx', 'dhr', 'cmg', 'nvda', 'goog', 'amd', 'chtr']",False,1.0,0.0,0.0,"$GOOG","['today', 'top', 'flow', 's&amp;p', '500', '#sp500,', 'buy', 'flow', 'sell', 'flow', '$amzn', '$pfe', '$hum', '$incy', '$fisv', '$crm', '$mu', '$aap', '$rf', '$emn', '$fb', '$aapl', '$ba', '$lrcx', '$dhr', '$cmg', '$nvda', '$goog', '$amd', '$chtr', '#stock', '#stocks', '#stockmarket', '#investment', '#investing', 'https://t.co/5je2nlrw3b', 'https://t.co/mnwey8i91t']",positive
129,132,1.39212e+18,2021-05-11,$pltr may add #btc to balance sheet. huge news after amazing earnings. bulllish!! $spy $tsla $stem $dia $cciv $nio $snow $gevo $nndm $bngo $roku $fb $amzn $goog #eth #dogecoin $mmm $sklz $mp $spce $psfe $arkk  https://t.co/bhdxmf6rn7,en,"['btc', 'eth', 'dogecoin']","['pltr', 'spy', 'tsla', 'stem', 'dia', 'cciv', 'nio', 'snow', 'gevo', 'nndm', 'bngo', 'roku', 'fb', 'amzn', 'goog', 'mmm', 'sklz', 'mp', 'spce', 'psfe', 'arkk']",False,0.0,0.0,0.0,"$GOOG","['$pltr', 'may', 'add', '#btc', 'balance', 'sheet.', 'huge', 'news', 'amazing', 'earnings.', 'bulllish!!', '$spy', '$tsla', '$stem', '$dia', '$cciv', '$nio', '$snow', '$gevo', '$nndm', '$bngo', '$roku', '$fb', '$amzn', '$goog', '#eth', '#dogecoin', '$mmm', '$sklz', '$mp', '$spce', '$psfe', '$arkk', 'https://t.co/bhdxmf6rn7']",uncertainty
130,133,1.39211e+18,2021-05-11,"$ely with multiple target raises on the back of suprising earnings.  looking to break range to the upside on a daily chart, looks very good and showing relative strength on a weaker market today.  $spy $qqq $tsla $aapl $amzn $msft $baba $goog $nvda $nio $fb $twlo $pton $sq $penn  https://t.co/o6udeudimf",en,[],"['ely', 'spy', 'qqq', 'tsla', 'aapl', 'amzn', 'msft', 'baba', 'goog', 'nvda', 'nio', 'fb', 'twlo', 'pton', 'sq', 'penn']",False,0.0,1.0,0.0,"$GOOG","['$ely', 'multiple', 'target', 'raise', 'back', 'suprising', 'earnings.', 'looking', 'break', 'range', 'upside', 'daily', 'chart,', 'look', 'good', 'showing', 'relative', 'strength', 'weaker', 'market', 'today.', '$spy', '$qqq', '$tsla', '$aapl', '$amzn', '$msft', '$baba', '$goog', '$nvda', '$nio', '$fb', '$twlo', '$pton', '$sq', '$penn', 'https://t.co/o6udeudimf']",positive
132,135,1.39211e+18,2021-05-11,always looking for interesting things going on...  $prpl with some interesting action pre-market. watching it for a bounce off the 200ma  we want to see it hold $29.50  $spy $qqq $tsla $aapl $amzn $msft $baba $goog $nvda $nio $fb $twlo $pton $tdoc $sq $penn $dkng $twtr $penn $gme  https://t.co/bymvt9f1ix,en,[],"['prpl', 'spy', 'qqq', 'tsla', 'aapl', 'amzn', 'msft', 'baba', 'goog', 'nvda', 'nio', 'fb', 'twlo', 'pton', 'tdoc', 'sq', 'penn', 'dkng', 'twtr', 'penn', 'gme']",False,1.0,0.0,0.0,"$GOOG","['always', 'looking', 'interesting', 'thing', 'going', 'on...', '$prpl', 'interesting', 'action', 'pre-market.', 'watching', 'bounce', '200ma', 'want', 'see', 'hold', '$29.50', '$spy', '$qqq', '$tsla', '$aapl', '$amzn', '$msft', '$baba', '$goog', '$nvda', '$nio', '$fb', '$twlo', '$pton', '$tdoc', '$sq', '$penn', '$dkng', '$twtr', '$penn', '$gme', 'https://t.co/bymvt9f1ix']",uncertainty
133,136,1.39211e+18,2021-05-11,$kt corp. closed at $30500 #won last night in #korea the equivalent of $13.60 #usd per adr share  $amc $gme $aapl $amzn $ba $cmcsa $fb $goog $intc $msft $nflx $nvda $t $tmus $tsla $vz $wmt $xom #wallstreet #wallstreetbets #stocks #stockmarket #valueinvesting #investors #investing  https://t.co/jchio8ki3d,en,"['won', 'korea', 'usd', 'wallstreet', 'wallstreetbets', 'stocks', 'stockmarket', 'valueinvesting', 'investors', 'investing']","['kt', 'amc', 'gme', 'aapl', 'amzn', 'ba', 'cmcsa', 'fb', 'goog', 'intc', 'msft', 'nflx', 'nvda', 't', 'tmus', 'tsla', 'vz', 'wmt', 'xom']",False,0.0,0.0,0.0,"$GOOG","['$kt', 'corp.', 'closed', '$30500', '#won', 'last', 'night', '#korea', 'equivalent', '$13.60', '#usd', 'per', 'adr', 'share', '$amc', '$gme', '$aapl', '$amzn', '$ba', '$cmcsa', '$fb', '$goog', '$intc', '$msft', '$nflx', '$nvda', '$t', '$tmus', '$tsla', '$vz', '$wmt', '$xom', '#wallstreet', '#wallstreetbets', '#stocks', '#stockmarket', '#valueinvesting', '#investors', '#investing', 'https://t.co/jchio8ki3d']",negative
134,137,1.39211e+18,2021-05-11,to own 1 whole yearn #finance $yfi token is the equivalent of being one of the original 100 employees at microsoft $msft or google $goog or apple $aapl who were the original share recipients   #defi will disrupt all global financial services,en,"['finance', 'defi']","['yfi', 'msft', 'goog', 'aapl']",False,2.0,0.0,2.0,"$GOOG","['1', 'whole', 'yearn', '#finance', '$yfi', 'token', 'equivalent', 'one', 'original', '100', 'employee', 'microsoft', '$msft', 'google', '$goog', 'apple', '$aapl', 'original', 'share', 'recipient', '#defi', 'disrupt', 'global', 'financial', 'service']",negative
136,139,1.39211e+18,2021-05-11,"$icp aims to take on $goog, $fb, $amzn, $eth, $dot, $luna and almost every other digital ecosystem. they have a 20 year road map and a credible team. current token utility is low and early investors have already made 30x to 50x on listing.",en,[],"['icp', 'goog', 'fb', 'amzn', 'eth', 'dot', 'luna']",False,5.0,0.0,2.0,"$GOOG","['$icp', 'aim', 'take', '$goog,', '$fb,', '$amzn,', '$eth,', '$dot,', '$luna', 'almost', 'every', 'digital', 'ecosystem.', '20', 'year', 'road', 'map', 'credible', 'team.', 'current', 'token', 'utility', 'low', 'early', 'investor', 'already', 'made', '30x', '50x', 'listing.']",uncertainty
138,141,1.39211e+18,2021-05-11,"@teslaconomics i'd have to sell a lot of my $goog or $msft or perhaps my $shop to buy enough at this price to make a difference, say 1 or 2k.  i just don't have $600k - $1.2m laying around for this.  so i'm holding where i am on $tsla.",en,[],"['goog', 'msft', 'shop', 'tsla']",False,1.0,0.0,0.0,"$GOOG","['@teslaconomics', ""i'd"", 'sell', 'lot', '$goog', '$msft', 'perhaps', '$shop', 'buy', 'enough', 'price', 'make', 'difference,', 'say', '1', '2k.', '$600k', '$1.2m', 'laying', 'around', 'this.', ""i'm"", 'holding', '$tsla.']",positive
139,142,1.39211e+18,2021-05-11,"$nysi $qqq $dia $fb $goog $xlf $xle $usd  $ndx  #es_f $tsla $btc $vix $iwm $rut $xlf  $gld $gdx $slv $xop $pall $spx  /es support has failed overnight. support 4120,resistance is 4160-4170.a new moon today,red lunar cycle starts on 13th ,10% correction at least,full moon on 26th.",en,['es_f'],"['nysi', 'qqq', 'dia', 'fb', 'goog', 'xlf', 'xle', 'usd', 'ndx', 'tsla', 'btc', 'vix', 'iwm', 'rut', 'xlf', 'gld', 'gdx', 'slv', 'xop', 'pall', 'spx']",False,4.0,0.0,0.0,"$GOOG","['$nysi', '$qqq', '$dia', '$fb', '$goog', '$xlf', '$xle', '$usd', '$ndx', '#es_f', '$tsla', '$btc', '$vix', '$iwm', '$rut', '$xlf', '$gld', '$gdx', '$slv', '$xop', '$pall', '$spx', '/es', 'support', 'failed', 'overnight.', 'support', '4120,resistance', '4160-4170.a', 'new', 'moon', 'today,red', 'lunar', 'cycle', 'start', '13th', ',10%', 'correction', 'least,full', 'moon', '26th.']",negative
144,147,1.39211e+18,2021-05-11,where were the warning signs they will say.. $btc $spy $qqq $dji $ndaq $vix $aapl $amzn $tsla $fb $goog $pltr $zm $ostk $pton $twtr  see thread 👇,en,[],"['btc', 'spy', 'qqq', 'dji', 'ndaq', 'vix', 'aapl', 'amzn', 'tsla', 'fb', 'goog', 'pltr', 'zm', 'ostk', 'pton', 'twtr']",False,0.0,0.0,0.0,"$GOOG","['warning', 'sign', 'say..', '$btc', '$spy', '$qqq', '$dji', '$ndaq', '$vix', '$aapl', '$amzn', '$tsla', '$fb', '$goog', '$pltr', '$zm', '$ostk', '$pton', '$twtr', 'see', 'thread', '👇']",negative
148,151,1.3921e+18,2021-05-11,"watchlist for may 11  $tsla &lt;- rip lol.. 539? 566 gap fill  $nio &lt;- trash back to 20 $amzn &lt;- 3060?  $sq &lt;- if 200 cant cold going to 190  $shop &lt;- 950 potential $goog &lt;- 2222 $spy &lt;-400  $cvna &lt;- 223 , 215  $dash support at 100  #stockmarketcrash #stockstowatch #stockmarkets  https://t.co/z4jotm5urk",en,"['stockmarketcrash', 'stockstowatch', 'stockmarkets']","['tsla', 'nio', 'amzn', 'sq', 'shop', 'goog', 'spy', 'cvna', 'dash']",False,3.0,0.0,1.0,"$GOOG","['watchlist', 'may', '11', '$tsla', '&lt;-', 'rip', 'lol..', '539?', '566', 'gap', 'fill', '$nio', '&lt;-', 'trash', 'back', '20', '$amzn', '&lt;-', '3060?', '$sq', '&lt;-', '200', 'cant', 'cold', 'going', '190', '$shop', '&lt;-', '950', 'potential', '$goog', '&lt;-', '2222', '$spy', '&lt;-400', '$cvna', '&lt;-', '223', '215', '$dash', 'support', '100', '#stockmarketcrash', '#stockstowatch', '#stockmarkets', 'https://t.co/z4jotm5urk']",uncertainty
152,155,1.3921e+18,2021-05-11,"large tech on sale right now. stay away from small tech, too risky at the moment. $amzn $goog $aapl",en,[],"['amzn', 'goog', 'aapl']",False,0.0,0.0,0.0,"$GOOG","['large', 'tech', 'sale', 'right', 'now.', 'stay', 'away', 'small', 'tech,', 'risky', 'moment.', '$amzn', '$goog', '$aapl']",negative
154,157,1.3921e+18,2021-05-11,"review: roku express 4k+ streaming player is under $40, but it's a killer device, without much sacrifice at that price.  here's why👇   https://t.co/wi5we2orml  $roku $amzn $appl $goog $nflx",en,[],"['roku', 'amzn', 'appl', 'goog', 'nflx']",False,1.0,0.0,0.0,"$GOOG","['review:', 'roku', 'express', '4k+', 'streaming', 'player', '$40,', 'killer', 'device,', 'without', 'much', 'sacrifice', 'price.', ""here's"", 'why👇', 'https://t.co/wi5we2orml', '$roku', '$amzn', '$appl', '$goog', '$nflx']",negative
158,161,1.3921e+18,2021-05-11,$goog twitter sentiment on 10 may 2021 was: ▒ positive 38.6% █ negative 11.0% ░ neutral 50.4% ▒▒▒▒▒▒▒▒██░░░░░░░░░░,en,[],['goog'],False,0.0,0.0,0.0,"$GOOG","['$goog', 'twitter', 'sentiment', '10', 'may', '2021', 'was:', '▒', 'positive', '38.6%', '█', 'negative', '11.0%', '░', 'neutral', '50.4%', '▒▒▒▒▒▒▒▒██░░░░░░░░░░']",uncertainty
165,168,1.3921e+18,2021-05-11,may mania  down down down $appl $goog $tsla $amzn $nflx $fb $nvda  https://t.co/uwii4jwnzn,en,[],"['appl', 'goog', 'tsla', 'amzn', 'nflx', 'fb', 'nvda']",False,1.0,0.0,0.0,"$GOOG","['may', 'mania', '$appl', '$goog', '$tsla', '$amzn', '$nflx', '$fb', '$nvda', 'https://t.co/uwii4jwnzn']",uncertainty
166,169,1.3921e+18,2021-05-11,@procandidate really depends on you and time frame and risk tolerance.  for me $aapl $goog are not going anywhere.  i hope $tsla gets hit hard to simply buy and put away   but it could be just buying $qqq $soxl   its up to you and your risk tolerance. make sense?,en,[],"['aapl', 'goog', 'tsla', 'qqq', 'soxl']",False,5.0,3.0,0.0,"$GOOG","['@procandidate', 'really', 'depends', 'time', 'frame', 'risk', 'tolerance.', '$aapl', '$goog', 'going', 'anywhere.', 'hope', '$tsla', 'get', 'hit', 'hard', 'simply', 'buy', 'put', 'away', 'could', 'buying', '$qqq', '$soxl', 'risk', 'tolerance.', 'make', 'sense?']",uncertainty
168,171,1.3921e+18,2021-05-11,good morning #fintwit   📈guide to get your day started on the markets📈  commentary on the market bleeding  #china population growth slowing $tsla axe shanghai factory expansion plans $ttd q1 📉 $rblx q1 $goog $fb citi downgrade to neutral   https://t.co/we0ckltcin,en,"['fintwit', 'china']","['tsla', 'ttd', 'rblx', 'goog', 'fb']",False,2.0,0.0,0.0,"$GOOG","['good', 'morning', '#fintwit', '📈guide', 'get', 'day', 'started', 'markets📈', 'commentary', 'market', 'bleeding', '#china', 'population', 'growth', 'slowing', '$tsla', 'axe', 'shanghai', 'factory', 'expansion', 'plan', '$ttd', 'q1', '📉', '$rblx', 'q1', '$goog', '$fb', 'citi', 'downgrade', 'neutral', 'https://t.co/we0ckltcin']",negative
169,172,1.3921e+18,2021-05-11,"@santiagoroel 1. let the pos  $fb   die.     2. $goog and $msft still provide plenty of cloud, ai competence(s). 3. let the market forces take care of the rest.",en,[],"['fb', 'goog', 'msft']",False,1.0,0.0,0.0,"$GOOG","['@santiagoroel', '1.', 'let', 'po', '$fb', 'die.', '2.', '$goog', '$msft', 'still', 'provide', 'plenty', 'cloud,', 'ai', 'competence(s).', '3.', 'let', 'market', 'force', 'take', 'care', 'rest.']",negative
